Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
164; 151; 652;0.763566; 1.0669; 9.39979
164; 151; 656;0.763566; 1.0669; 9.39979
164; 151; 656;0.763566; 1.0669; 9.39979
165; 152; 656;0.763566; 1.0669; 9.39979
165; 152; 660;0.763566; 1.0669; 9.39979
165; 152; 660;0.763566; 1.0669; 9.39979
166; 153; 660;0.763566; 1.0669; 9.39979
166; 153; 664;0.763566; 1.0669; 9.39979
166; 153; 664;0.763566; 1.0669; 9.39979
167; 154; 664;0.763566; 1.0669; 9.39979
167; 154; 668;0.763566; 1.0669; 9.39979
167; 154; 668;0.763566; 1.0669; 9.39979
168; 155; 668;0.763566; 1.0669; 9.39979
168; 155; 672;0.763566; 1.0669; 9.39979
168; 155; 672;0.763566; 1.0669; 9.39979
169; 156; 672;0.763566; 1.0669; 9.39979
169; 156; 676;0.763566; 1.0669; 9.39979
169; 156; 676;0.763566; 1.0669; 9.39979
170; 157; 676;0.763566; 1.0669; 9.39979
170; 157; 680;0.763566; 1.0669; 9.39979
170; 157; 680;0.763566; 1.0669; 9.39979
171; 158; 680;0.763566; 1.0669; 9.39979
171; 158; 684;0.763566; 1.0669; 9.39979
171; 158; 684;0.763566; 1.0669; 9.39979
172; 159; 684;0.763566; 1.0669; 9.39979
172; 159; 688;0.763566; 1.0669; 9.39979
172; 159; 688;0.763566; 1.0669; 9.39979
173; 160; 688;0.763566; 1.0669; 9.39979
173; 160; 692;0.763566; 1.0669; 9.39979
173; 160; 692;0.763566; 1.0669; 9.39979
174; 161; 692;0.763566; 1.0669; 9.39979
174; 161; 696;0.763566; 1.0669; 9.39979
174; 161; 696;0.763566; 1.0669; 9.39979
175; 162; 696;0.763566; 1.0669; 9.39979
175; 162; 700;0.763566; 1.0669; 9.39979
175; 162; 700;0.763566; 1.0669; 9.39979
176; 163; 700;0.763566; 1.0669; 9.39979
176; 163; 704;0.763566; 1.0669; 9.39979
176; 163; 704;0.763566; 1.0669; 9.39979
177; 164; 704;0.763566; 1.0669; 9.39979
177; 164; 708;0.763566; 1.0669; 9.39979
177; 164; 708;0.763566; 1.0669; 9.39979
178; 165; 708;0.763566; 1.0669; 9.39979
178; 165; 712;0.763566; 1.0669; 9.39979
178; 165; 712;0.763566; 1.0669; 9.39979
179; 166; 712;0.763566; 1.0669; 9.39979
179; 166; 716;0.763566; 1.0669; 9.39979
179; 166; 716;0.763566; 1.0669; 9.39979
180; 167; 716;0.763566; 1.0669; 9.39979
180; 167; 720;0.763566; 1.0669; 9.39979
180; 167; 720;0.763566; 1.0669; 9.39979
181; 168; 720;0.763566; 1.0669; 9.39979
181; 168; 724;0.763566; 1.0669; 9.39979
181; 168; 724;0.763566; 1.0669; 9.39979
182; 169; 724;0.763566; 1.0669; 9.39979
182; 169; 728;0.763566; 1.0669; 9.39979
182; 169; 728;0.763566; 1.0669; 9.39979
183; 170; 728;0.763566; 1.0669; 9.39979
183; 170; 732;0.763566; 1.0669; 9.39979
183; 170; 732;0.763566; 1.0669; 9.39979
184; 171; 732;0.763566; 1.0669; 9.39979
184; 171; 736;0.763566; 1.0669; 9.39979
184; 171; 736;0.763566; 1.0669; 9.39979
185; 172; 736;0.763566; 1.0669; 9.39979
